"id";"name";"brand";"category";"ref";"price";"cost";"sizes";"image";"color";"stock";"note";"source"
"1";"Nike kyrie irving 2";"";"Mujer";"5459";"70000";"0";"36-39";"IMG-20260115-WA0072.jpg";"";"0";"";"Cali Pedidos"
"2";"Lacoste";"";"Hombre";"5723";"60000";"0";"40,41,42,44";"IMG-20260115-WA0073.jpg";"";"0";"";"Cali Pedidos"
"3";"Nike skate kids";"";"Nino";"5692";"60000";"0";"32";"IMG-20260115-WA0074.jpg";"";"0";"";"Cali Pedidos"
"4";"Nike airmax sndr";"";"Mujer";"5019";"20000";"0";"36-39";"IMG-20260115-WA0075.jpg";"";"0";"";"Cali Pedidos"
"5";"Nike airmax sndr";"";"Mujer";"5016";"20000";"0";"36-39";"IMG-20260115-WA0076.jpg";"";"0";"";"Cali Pedidos"
"6";"Nike jordan retro 1";"";"Mujer";"4676";"50000";"0";"36";"IMG-20260115-WA0077.jpg";"";"0";"NO CAMBIO NO GARANTIA";"Cali Pedidos"
"7";"Nike legacy";"";"Mujer";"5026";"60000";"0";"39";"IMG-20260115-WA0078.jpg";"";"0";"NO CAMBIO NO GARANTIA";"Cali Pedidos"
"8";"New balance 550";"";"Hombre";"4326";"60000";"0";"40";"IMG-20260115-WA0079.jpg";"";"0";"NO CAMBIO NO GARANTIA";"Cali Pedidos"
"9";"Adidas samba";"";"Mujer";"4493";"60000";"0";"36-39";"IMG-20260115-WA0080.jpg";"";"0";"NO CAMBIO NO GARANTIA";"Cali Pedidos"
"10";"Hugo boss";"";"Hombre";"5551";"60000";"0";"40";"IMG-20260115-WA0081.jpg";"";"0";"NO CAMBIO NO GARANTIA";"Cali Pedidos"
"11";"Nike shox";"";"Mujer";"5355";"60000";"0";"39";"IMG-20260115-WA0082.jpg";"";"0";"NO CAMBIO NO GARANTIA";"Cali Pedidos"
"12";"Adidas grand court";"";"Hombre";"5240";"30000";"0";"40";"IMG-20260115-WA0083.jpg";"";"0";"NO CAMBIO NO GARANTIA";"Cali Pedidos"
"13";"Adidas grand court";"";"Mujer";"5241";"30000";"0";"36";"IMG-20260115-WA0083.jpg";"";"0";"NO CAMBIO NO GARANTIA";"Cali Pedidos"
"14";"Puma california";"";"Hombre";"5251";"50000";"0";"40";"IMG-20260115-WA0084.jpg";"";"0";"NO CAMBIO NO GARANTIA";"Cali Pedidos"
"15";"On cloud 5";"";"Mujer";"5158";"60000";"0";"36-39";"IMG-20260115-WA0085.jpg";"";"0";"NO CAMBIO NO GARANTIA";"Cali Pedidos"
"16";"Nike air TN";"";"Hombre";"5133";"50000";"0";"41-44";"IMG-20260115-WA0086.jpg";"";"0";"NO CAMBIO NO GARANTIA";"Cali Pedidos"
"17";"Skechers propulsion";"";"Hombre";"5230";"60000";"0";"40,41";"IMG-20260115-WA0087.jpg";"";"0";"NO CAMBIO NO GARANTIA";"Cali Pedidos"
"18";"On cloud monster";"";"Mujer";"4468";"60000";"0";"36-39";"IMG-20260115-WA0088.jpg";"";"0";"NO CAMBIO NO GARANTIA";"Cali Pedidos"
"19";"Nike air TN";"";"Mujer";"2510";"60000";"0";"38,39";"IMG-20260115-WA0089.jpg";"";"0";"NO CAMBIO NO GARANTIA";"Cali Pedidos"
